SName,Lyric,Artist,Songs,Popularity,Genre,Genres
Agora Vai,"Agora vai, agora vai. Agora vai, você vai ver como agora vai. Ela pediu para voltar. E vai, agora vai. (x2)ela sempre dizia. Que sem ela eu ia sofrer. E sofri, sofri demais. Nem queira saber. Agora vai, agora vai. Agora vai, você vai ver como agora vai. Ela pediu para voltar. E vai, agora vai!",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Dotô Vardemá (conheço Muito),"Meu povo, minha gente. Estou aqui para atender. Se precisar de alguma coisa. É só falar com o Valdemar. Dotô Vardemar Vardemar Dotô. Dotô Vardemar Vardemar Dotô. Dotô Vardemar Vardemar Dotô. Dotô Vardemar Vardemar Dotô. Ó minha cara Patrícia. O que é que há, pode falar. Vocês sabem, eu sou amigo. Mas isso jás não é mais comigo",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Tocar Na Banda,Tocar na banda. Pra ganhar o quê. Duas mariolas. E um cigarro iolanda. Num relógio. É quatro e vinte. No outro é quatro e meia. É que de um relógio pra outro. As horas vareia. Marquei com a minha nega. Às cinco. Cheguei às cinco e quarenta. Esperar mais. Que vinte minutos. Quem é que agüenta,Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Eu Quero Ver Quem Pode Mais,"Eu quero ver quem pode mais. Vou me valer da minha rima,. Do meu samba e de outras coisas mais. Você tem muito que aprender ainda desta vez. Já fiz de tudo, e você o que é que fez?. Conheço você a muito tempo. Desde a outra madrugada. Você fala, fala, fala. Até hoje ninguém viu nada. Pelo o que eu vejo. Pela dor que te acompanha. Diz o ditado que quando um perde,. Outro ganha. Infelizmente você. É sempre que apanha",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
"Bom Dia, Tristeza","Bom dia, tristeza. Que tarde, tristeza. Você veio hoje me ver. Já estava ficando. Até meio triste. De estar tanto tempo. Longe de você. Se chegue, tristeza. Se sente comigo. Aqui, nesta mesa de bar. Beba do meu copo. Me dê o seu ombro. Que é para eu chorar. Chorar de tristeza. Tristeza de amar",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Carolina,Lá vai ela. Carolina vai embora da favela. Lá vai ela. Carolina vai embora da favela. Ela escreveu um livro. Sobre a vida de um cortiço. O que ela escreveu. Tá causando reboliço. Carolina é um sucesso. Vão levá-la pra cidade. Até querem que ela faça. Conferência na Argentina. Ela agora é importante. Vai virar celebridade. Todo mundo na cidade. Quer saber da Carolina. Carolina autografando livro. Carolina em tudo que é jornal. Carolina conhecendo gente. Carolina em crônica social. Carolina na televisão. Carolina de vestido novo. Carolina com o governador. Carolina não é mais do povo. Só dá ela. Carolina nem se lembra da favela. Só dá ela. Carolina nem se lembra da favela. Carolina não escreve. Não tem mais tempo pra isso. E nem lembra mais do tempo. Que vivia no cortiço. Carolina foi morar. Num importante arranha-céu. Mil visitas todo dia. Está sempre em coquetel. Até que de repente. Deixa de ser novidade. Sai da moda e é somente. Carolina novamente. Carolina não tem mais dinheiro. Carolina não sai no jornal. Carolina não vai mais a festa. Carolina não interessa mais. Carolina não paga aluguel. Carolina sai do arranha-céu. Carolina vai fazer o que?. Carolina vai catar papel. Lá vem ela. Carolina está de volta pra favela. Lá vem ela. Carolina está de volta pra favela,Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Abrigo de Vagabundos,"Eu arranjei o meu dinheiro. Trabalhando o ano inteiro. Numa cerâmica. Fabricando potes. e lá no alto da Moóca. Eu comprei um lindo lote dez de frente e dez de fundos. Construí minha maloca. Me disseram que sem planta. Não se pode construir. Mas quem trabalha tudo pode conseguir. João Saracura que é fiscal da Prefeitura. Foi um grande amigo, arranjou tudo pra mim. Por onde andará Joca e Matogrosso. Aqueles dois amigos. Que não quis me acompanhar. Andarão jogados na avenida São João. Ou vendo o sol quadrado na detenção. Minha maloca, a mais linda que eu já vi. Hoje está legalizada ninguém pode demolir. Minha maloca a mais linda deste mundo. Ofereço aos vagabundos. Que não têm onde dormir",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Acorda Meu Amor,"Eu não posso deixar outra noite passar vazia. Sem direito a nada, vendo a madrugada fria. Quero ser amada com a primarzia. De uma namorada do primeiro dia. Eu não posso deixar nosso sonho ficar perdido. Tão abandonado, coitado, ser esquecido. Você foi flechado pelo meu cupido. De direito e fato, sou ter prato preferido. Você me tocou, e me fez mulher. Você me ensinou, pode levar fé. Não dá pra disfarçar o meu sentimento. E foi tanto amor, que eu fiquei assim. Todo dia, quero sempre digo sim. Coisa que não sai mais do meu pensamento, amor. Refrão. Acorda meu amor, que eu tô doidinha pra te namorar. Pra te beijar, pra te abraçar. Pra te fazer feliz. A noite toda, pela vida inteira",Alcione,374,5.1,Samba,Samba; Romântico; MPB; Pagode; Axé; Bossa Nova; Forró; Velha Guarda; Samba Enredo; Disco; Pop; Piano Rock; Trilha Sonora; Heavy Metal; Electronica; Black Music; Sertanejo; Jovem Guarda; Gospel/Religioso; Blues; Infantil; Hip Hop
Tô Fazendo Amor,"Tô fazendo amor com outra pessoa. Mas meu coração vai ser pra sempre teu. O que o corpo faz, a alma perdoa. (tanta solidão). Quase me enlouqueceu. Vou falar que é amor. Vou jurar que é paixão. E dizer o que eu sinto com. todo carinho pensando em você. Vou fazer o que for e com toda emoção. A verdade é que eu minto, que eu vivo sozinha. não sei te esquecer. E depois acabou, ilusão que eu criei,. emoção foi embora e a gente só. pede pro tempo correr,. já nao sei quem me amou. Que será que eu falei, dá pra ver nessa hora. que o amor só se mede depois do prazer. Fica dentro meu peito sempre uma saudade. Só pensando no teu jeito, eu amo de verdade. E quando o desejo vem e teu nome que eu chamo. Posso até gostar de alguém,. mas é você que eu amo. (você que eu amo). Tô fazendo amor com outra pessoa. Mais meu coração vai ser pra sempre teu. O que o corpo faz, a alma perdoa. (tanta solidão). Quase me enlouqueceu. Vou falar que é amor. Vou jurar que é paixão. E dizer o que eu sinto. com todo carinho pensando em você. Vou fazer o que for, com toda emoção. A verdade e que eu minto, que eu vivo sozinha. não sei te esquecer. E depois acabou, ilusão que eu criei,. emoção foi embora. e a gente só pede pro tempo correr,. já nao sei quem me amou. Que será que eu falei, dá pra ver nessa hora. que o amor só se mede depois do prazer. Fica dentro meu peito é sempre uma saudade. So pensando no teu jeito, eu amo de verdade. E quando o desejo vem é teu nome que eu chamo. Posso até gostar de alguém, mas. é você que eu amo. Fica dentro meu peito é sempre uma saudade. So pensando no teu jeito, eu amo de verdade. E quando o desejo vem e teu nome que eu chamo. Posso até gostar de alguém,. mas é você que eu amo. você que eu amo.",Alcione,374,5.1,Samba,Samba; Romântico; MPB; Pagode; Axé; Bossa Nova; Forró; Velha Guarda; Samba Enredo; Disco; Pop; Piano Rock; Trilha Sonora; Heavy Metal; Electronica; Black Music; Sertanejo; Jovem Guarda; Gospel/Religioso; Blues; Infantil; Hip Hop
Não Deixe O Samba Morrer,"Não deixa o samba morrer. Não deixa o samba acabar. O morro foi feito de samba. De samba para gente sambar. Quando eu não puder pisar mais na avenida. Quando as minhas pernas não puderem aguentar. Levar meu corpo, junto com meu samba. O meu anel de bamba, entrego a quem mereça usar. E quando eu não puder pisar mais na avenida. Quando as minhas pernas não puderem aguentar. Levar meu corpo, junto com meu samba. O meu anel de bamba, entrego a quem mereça usar. Eu Vou ficar. No meio do povo. Espiando. Minha escola perdendo ou ganhando. Mais um carnaval. Antes de me despedir. Deixo ao sambista mais novo. O meu pedido final. Antes de me despedir. Deixo ao sambista mais novo. O meu pedido final. Não deixa o samba morrer. Não deixa o samba acabar. O morro foi feito de samba. De samba para gente sambar. Não deixa o samba morrer. Não deixa o samba acabar. O morro foi feito de samba. De samba para gente sambar. Quando eu não puder pisar mais na avenida. Quando as minhas pernas não puderem aguentar. Levar meu corpo, junto com meu samba. O meu anel de bamba, entrego a quem mereça usar. Eu Vou ficar. No meio do povo. Espiando. A Mangueira perdendo ou ganhando. Mais um carnaval. Antes de me despedir. Deixo ao sambista mais novo. O meu pedido final. Antes de me despedir. Deixo ao sambista mais novo. O meu pedido final. Não deixa o samba morrer. Não deixa o samba acabar. O morro foi feito de samba. De samba para gente sambar. Não deixa o samba morrer. Não deixa o samba acabar. O morro foi feito de samba. De samba para gente sambar",Alcione,374,5.1,Samba,Samba; Romântico; MPB; Pagode; Axé; Bossa Nova; Forró; Velha Guarda; Samba Enredo; Disco; Pop; Piano Rock; Trilha Sonora; Heavy Metal; Electronica; Black Music; Sertanejo; Jovem Guarda; Gospel/Religioso; Blues; Infantil; Hip Hop
